markdown_seq	markdown_headword	expected_headword_for_seq	index_matches_seq	candidate_index_seqs_for_headword	proposed_canonical_seq	status
2501	治安	治安	yes	2501	2501	ok
2502	治理	治理	yes	2502	2502	ok
2503	致辞	致辞	yes	2503	2503	ok
2504	致力	致力	yes	2504	2504	ok
2505	致使	致使	yes	2505	2505	ok
2506	智力	智力	yes	2506	2506	ok
2507	智能	智能	yes	2507	2507	ok
2508	智商	智商	yes	2508	2508	ok
2509	滞留	滞留	yes	2509	2509	ok
2510	中断	中断	yes	2510	2510	ok
2511	中立	中立	yes	2511	2511	ok
2512	中央	中央	yes	2512	2512	ok
2513	忠诚	忠诚	yes	2513	2513	ok
2514	忠实	忠实	yes	2514	2514	ok
2515	终点	终点	yes	2515	2515	ok
2516	终究	终究	yes	2516	2516	ok
2517	终年	终年	yes	2517	2517	ok
2518	终身	终身	yes	2518	2518	ok
2519	终止	终止	yes	2519	2519	ok
2520	衷心	衷心	yes	2520	2520	ok
2521	肿瘤	肿瘤	yes	2521	2521	ok
2522	种子	种子	yes	2522	2522	ok
2523	种族	种族	yes	2523	2523	ok
2524	众所周知	众所周知	yes	2524	2524	ok
2525	种植	种植	yes	2525	2525	ok
2526	重心	重心	yes	2526	2526	ok
2527	舟	舟	yes	2527	2527	ok
2528	周边	周边	yes	2528	2528	ok
2529	周密	周密	yes	2529	2529	ok
2530	周年	周年	yes	2530	2530	ok
2531	周期	周期	yes	2531	2531	ok
2532	周折	周折	yes	2532	2532	ok
2533	周转	周转	yes	2533	2533	ok
2534	粥	粥	yes	2534	2534	ok
2535	昼夜	昼夜	yes	2535	2535	ok
2536	皱纹	皱纹	yes	2536	2536	ok
2537	株	株	yes	2537	2537	ok
2538	诸位	诸位	yes	2538	2538	ok
2539	逐年	逐年	yes	2539	2539	ok
2540	主办	主办	yes	2540	2540	ok
2541	主导	主导	yes	2541	2541	ok
2542	主管	主管	yes	2542	2542	ok
2543	主流	主流	yes	2543	2543	ok
2544	主权	主权	yes	2544	2544	ok
2545	主题	主题	yes	2545	2545	ok
2546	主义	主义	yes	2546	2546	ok
2547	柱	柱	yes	2547	2547	ok
2548	嘱咐	嘱咐	yes	2548	2548	ok
2549	助理	助理	yes	2549	2549	ok
2550	助手	助手	yes	2550	2550	ok
2551	住宅	住宅	yes	2551	2551	ok
2552	注射	注射	yes	2552	2552	ok
2553	注视	注视	yes	2553	2553	ok
2554	注释	注释	yes	2554	2554	ok
2555	注重	注重	yes	2555	2555	ok
2556	驻扎	驻扎	yes	2556	2556	ok
2557	著作	著作	yes	2557	2557	ok
2558	铸造	铸造	yes	2558	2558	ok
2559	拽	拽	yes	2559	2559	ok
2560	专长	专长	yes	2560	2560	ok
2561	专程	专程	yes	2561	2561	ok
2562	专科	专科	yes	2562	2562	ok
2563	专利	专利	yes	2563	2563	ok
2564	专题	专题	yes	2564	2564	ok
2565	砖	砖	yes	2565	2565	ok
2566	砖瓦	砖瓦	yes	2566	2566	ok
2567	转达	转达	yes	2567	2567	ok
2568	转让	转让	yes	2568	2568	ok
2569	转移	转移	yes	2569	2569	ok
2570	转折	转折	yes	2570	2570	ok
2571	传记	传记	yes	2571	2571	ok
2572	庄稼	庄稼	yes	2572	2572	ok
2573	庄重	庄重	yes	2573	2573	ok
2574	装备	装备	yes	2574	2574	ok
2575	装卸	装卸	yes	2575	2575	ok
2576	壮观	壮观	yes	2576	2576	ok
2577	壮丽	壮丽	yes	2577	2577	ok
2578	壮烈	壮烈	yes	2578	2578	ok
2579	幢	幢	yes	2579	2579	ok
2580	追悼	追悼	yes	2580	2580	ok
2581	追究	追究	yes	2581	2581	ok
2582	坠	坠	yes	2582	2582	ok
2583	准则	准则	yes	2583	2583	ok
2584	卓越	卓越	yes	2584	2584	ok
2585	着手	着手	yes	2585	2585	ok
2586	着想	着想	yes	2586	2586	ok
2587	着重	着重	yes	2587	2587	ok
2588	姿态	姿态	yes	2588	2588	ok
2589	资本	资本	yes	2589	2589	ok
2590	资产	资产	yes	2590	2590	ok
