source_file	seq	headword	reason
0251-0500.md	0265	成員	duplicate_lost
0251-0500.md	0266	沈着	duplicate_lost
0251-0500.md	0267	減華	duplicate_lost
0251-0500.md	0282	返鈍	duplicate_lost
0251-0500.md	0283	司。｜、他ｲ	duplicate_lost
0251-0500.md	0289	充沫	duplicate_lost
0251-0500.md	0292	重畳	duplicate_lost
0251-0500.md	0293	重	duplicate_lost
0251-0500.md	0294	崇拝	duplicate_lost
0251-0500.md	0298	柚室	duplicate_lost
0251-0500.md	0300	等各	duplicate_lost
0251-0500.md	0301	時曙	duplicate_lost
0251-0500.md	0320	侍羊	duplicate_lost
0251-0500.md	0321	侍授	duplicate_lost
0251-0500.md	0323	鳴完	duplicate_lost
0251-0500.md	0325	床羊	duplicate_lost
0251-0500.md	0326	卜虻分姶我的教刃	duplicate_lost
0251-0500.md	0327	処境	duplicate_lost
0251-0500.md	0329	創作	duplicate_lost
0251-0500.md	0338	患善	duplicate_lost
0251-0500.md	0376	答辞	duplicate_lost
0251-0500.md	0381	誕辰	duplicate_lost
0251-0500.md	0382	誕生	duplicate_lost
0251-0500.md	0392	当各之急	duplicate_lost
0251-0500.md	0394	当逸	duplicate_lost
0251-0500.md	0397	手弾	duplicate_lost
0251-0500.md	0398	手航	duplicate_lost
0251-0500.md	0405	得不儂失	duplicate_lost
0251-0500.md	0409	灯蒐	duplicate_lost
0251-0500.md	0515	額外	duplicate_lost
0251-0500.md	0516	悪心	duplicate_lost
0251-0500.md	0517	悪化	duplicate_lost
0251-0500.md	0518	過制白	duplicate_lost
0251-0500.md	0519	恩怨邑	duplicate_lost
0251-0500.md	0520	而己	duplicate_lost
0251-0500.md	0521	耳坏	duplicate_lost
0251-0500.md	0544	反倒	duplicate_lost
0251-0500.md	0547	反抗	duplicate_lost
0251-0500.md	2500	制止	duplicate_lost
0501-0750.md	0514	堕落	duplicate_lost
0501-0750.md	0522	二氧化碳	duplicate_lost
0501-0750.md	0545	反动	duplicate_lost
0501-0750.md	0546	反感	duplicate_lost
0501-0750.md	0574	逢	duplicate_lost
0501-0750.md	0575	奉厭	duplicate_lost
0501-0750.md	0576	否決	duplicate_lost
