pdf_page	printed_page	status
1	N/A	no_number
2	N/A	no_number
3	6	ok
4	N/A	no_number
5	2	ok
6	N/A	no_number
7	4	ok
8	N/A	no_number
9	N/A	no_number
10	N/A	no_number
11	8	ok
12	9	ok
13	10	ok
14	11	ok
15	12	ok
16	117	ok
17	14	ok
18	144	ok
19	16	ok
20	N/A	no_number
21	18	ok
22	19	ok
23	N/A	no_number
24	224	ok
25	22	ok
26	23	ok
27	24	ok
28	25	ok
29	26	ok
30	N/A	no_number
31	28	ok
32	29	ok
33	30	ok
34	392	ok
35	32	ok
36	33	ok
37	34	ok
38	N/A	no_number
39	36	ok
40	483	ok
41	38	ok
42	39	ok
43	40	ok
44	41	ok
45	42	ok
46	574	ok
47	5	ok
48	45	ok
49	46	ok
50	47	ok
51	48	ok
52	49	ok
53	682	ok
54	N/A	no_number
55	52	ok
56	53	ok
57	731	ok
58	1	ok
59	2	duplicate_of_pdf5
60	N/A	no_number
61	4	duplicate_of_pdf7
62	5	duplicate_of_pdf47
63	N/A	no_number
64	N/A	no_number
65	8	duplicate_of_pdf11
66	9	duplicate_of_pdf12
67	10	duplicate_of_pdf13
68	11	duplicate_of_pdf14
69	12	duplicate_of_pdf15
70	13	ok
71	14	duplicate_of_pdf17
72	15	ok
73	16	duplicate_of_pdf19
74	17	ok
75	18	duplicate_of_pdf21
76	19	duplicate_of_pdf22
77	20	ok
78	21	ok
79	22	duplicate_of_pdf25
80	N/A	no_number
81	24	duplicate_of_pdf27
82	25	duplicate_of_pdf28
83	26	duplicate_of_pdf29
84	N/A	no_number
85	28	duplicate_of_pdf31
86	29	duplicate_of_pdf32
87	30	duplicate_of_pdf33
88	31	ok
89	32	duplicate_of_pdf35
90	33	duplicate_of_pdf36
91	34	duplicate_of_pdf37
92	35	ok
93	36	duplicate_of_pdf39
94	N/A	no_number
95	38	duplicate_of_pdf41
96	39	duplicate_of_pdf42
97	40	duplicate_of_pdf43
98	41	duplicate_of_pdf44
99	1	duplicate_of_pdf58
100	43	ok
101	1	duplicate_of_pdf58
102	45	duplicate_of_pdf48
103	46	duplicate_of_pdf49
104	N/A	no_number
105	48	duplicate_of_pdf51
106	N/A	no_number
107	50	ok
108	51	ok
109	52	duplicate_of_pdf55
110	1	duplicate_of_pdf58
111	54	ok
112	55	ok
113	56	ok
114	57	ok
115	58	ok
116	59	ok
117	60	ok
118	1	duplicate_of_pdf58
119	62	ok
120	63	ok
121	64	ok
122	65	ok
123	66	ok
124	N/A	no_number
125	68	ok
126	69	ok
127	N/A	no_number
128	N/A	no_number
129	N/A	no_number
130	N/A	no_number
131	N/A	no_number
132	N/A	no_number
133	76	ok
134	6	duplicate_of_pdf3
135	N/A	no_number
136	N/A	no_number
137	80	ok
138	N/A	no_number
139	82	ok
140	N/A	no_number
141	84	ok
142	85	ok
143	86	ok
144	N/A	no_number
145	88	ok
146	89	ok
147	90	ok
148	91	ok
149	92	ok
150	93	ok
151	94	ok
152	95	ok
153	96	ok
154	6	duplicate_of_pdf3
155	98	ok
156	99	ok
157	N/A	no_number
158	101	ok
159	N/A	no_number
160	103	ok
161	104	ok
162	105	ok
163	106	ok
164	107	ok
165	108	ok
166	109	ok
167	110	ok
168	111	ok
169	112	ok
170	113	ok
171	114	ok
172	115	ok
173	116	ok
174	N/A	no_number
175	118	ok
176	119	ok
177	120	ok
178	N/A	no_number
179	122	ok
180	123	ok
181	124	ok
182	125	ok
183	126	ok
184	1	duplicate_of_pdf58
185	128	ok
186	129	ok
187	130	ok
188	N/A	no_number
189	132	ok
190	133	ok
191	134	ok
192	135	ok
193	136	ok
194	N/A	no_number
195	138	ok
196	139	ok
197	140	ok
198	141	ok
199	1	duplicate_of_pdf58
200	143	ok
201	N/A	no_number
202	145	ok
203	146	ok
204	147	ok
205	148	ok
206	N/A	no_number
207	150	ok
208	151	ok
209	152	ok
210	153	ok
211	N/A	no_number
212	155	ok
213	156	ok
214	N/A	no_number
215	N/A	no_number
216	159	ok
217	160	ok
218	161	ok
219	162	ok
220	163	ok
221	164	ok
222	165	ok
223	166	ok
224	N/A	no_number
225	168	ok
226	169	ok
227	170	ok
228	N/A	no_number
229	N/A	no_number
230	N/A	no_number
231	N/A	no_number
232	N/A	no_number
233	N/A	no_number
234	N/A	no_number
235	N/A	no_number
236	N/A	no_number
237	180	ok
238	181	ok
239	182	ok
240	183	ok
241	184	ok
242	185	ok
243	186	ok
244	N/A	no_number
245	188	ok
246	189	ok
247	190	ok
248	191	ok
249	192	ok
250	193	ok
251	194	ok
252	195	ok
253	196	ok
254	1	duplicate_of_pdf58
255	198	ok
256	199	ok
257	1	duplicate_of_pdf58
258	N/A	no_number
259	202	ok
260	203	ok
261	204	ok
262	205	ok
263	206	ok
264	N/A	no_number
265	208	ok
266	209	ok
267	210	ok
268	211	ok
269	212	ok
270	213	ok
271	N/A	no_number
272	215	ok
273	216	ok
274	N/A	no_number
275	218	ok
276	219	ok
277	220	ok
278	221	ok
279	222	ok
280	223	ok
281	224	duplicate_of_pdf24
282	225	ok
283	226	ok
284	2	duplicate_of_pdf5
285	228	ok
286	229	ok
287	230	ok
288	N/A	no_number
289	232	ok
290	N/A	no_number
291	234	ok
292	N/A	no_number
293	236	ok
294	N/A	no_number
295	238	ok
296	239	ok
297	240	ok
298	241	ok
299	N/A	no_number
300	243	ok
301	2	duplicate_of_pdf5
302	245	ok
303	N/A	no_number
304	N/A	no_number
305	248	ok
306	249	ok
307	250	ok
308	251	ok
309	252	ok
310	253	ok
311	N/A	no_number
312	255	ok
313	256	ok
314	N/A	no_number
315	258	ok
316	N/A	no_number
317	260	ok
318	261	ok
319	262	ok
320	263	ok
321	N/A	no_number
322	N/A	no_number
323	266	ok
324	1	duplicate_of_pdf58
325	268	ok
326	269	ok
327	N/A	no_number
328	N/A	no_number
329	N/A	no_number
330	N/A	no_number
331	N/A	no_number
332	5	duplicate_of_pdf47
333	N/A	no_number
334	N/A	no_number
335	N/A	no_number
336	N/A	no_number
337	280	ok
338	281	ok
339	282	ok
340	283	ok
341	284	ok
342	285	ok
343	286	ok
344	N/A	no_number
345	288	ok
346	289	ok
347	290	ok
348	291	ok
349	292	ok
350	293	ok
351	294	ok
352	295	ok
353	296	ok
354	2	duplicate_of_pdf5
355	298	ok
356	299	ok
357	N/A	no_number
358	N/A	no_number
359	302	ok
360	303	ok
361	304	ok
362	305	ok
363	306	ok
364	N/A	no_number
365	308	ok
366	309	ok
367	310	ok
368	311	ok
369	312	ok
370	313	ok
371	111	duplicate_of_pdf168
372	N/A	no_number
373	316	ok
374	N/A	no_number
375	318	ok
376	319	ok
377	320	ok
378	N/A	no_number
379	322	ok
380	323	ok
381	324	ok
382	1	duplicate_of_pdf58
383	326	ok
384	N/A	no_number
385	328	ok
386	329	ok
387	330	ok
388	N/A	no_number
389	332	ok
390	333	ok
391	334	ok
392	N/A	no_number
393	336	ok
394	337	ok
395	338	ok
396	339	ok
397	340	ok
398	N/A	no_number
399	N/A	no_number
400	339	duplicate_of_pdf396
401	340	duplicate_of_pdf397
402	341	ok
403	342	ok
404	343	ok
405	344	ok
406	345	ok
407	346	ok
408	N/A	no_number
409	348	ok
410	349	ok
411	350	ok
412	N/A	no_number
413	352	ok
414	N/A	no_number
415	354	ok
416	355	ok
417	356	ok
418	N/A	no_number
419	1	duplicate_of_pdf58
420	359	ok
421	360	ok
422	361	ok
423	362	ok
424	363	ok
425	364	ok
426	365	ok
427	366	ok
428	N/A	no_number
429	368	ok
430	369	ok
431	N/A	no_number
432	N/A	no_number
433	N/A	no_number
434	N/A	no_number
435	N/A	no_number
436	375	ok
437	376	ok
438	N/A	no_number
439	N/A	no_number
440	6	duplicate_of_pdf3
441	380	ok
442	381	ok
443	382	ok
444	N/A	no_number
445	384	ok
446	385	ok
447	386	ok
448	N/A	no_number
449	388	ok
450	N/A	no_number
451	390	ok
452	N/A	no_number
453	392	duplicate_of_pdf34
454	393	ok
455	394	ok
456	395	ok
457	396	ok
458	N/A	no_number
459	39	duplicate_of_pdf42
460	399	ok
461	400	ok
462	401	ok
463	402	ok
464	403	ok
465	404	ok
466	405	ok
467	406	ok
468	N/A	no_number
469	408	ok
470	409	ok
471	N/A	no_number
472	411	ok
473	412	ok
474	413	ok
475	414	ok
476	415	ok
477	416	ok
478	417	ok
479	418	ok
480	419	ok
481	420	ok
482	421	ok
483	422	ok
484	N/A	no_number
485	424	ok
486	425	ok
487	426	ok
488	N/A	no_number
489	428	ok
490	429	ok
491	430	ok
492	431	ok
493	432	ok
494	433	ok
495	434	ok
496	435	ok
497	436	ok
498	337	duplicate_of_pdf394
499	338	duplicate_of_pdf395
500	339	duplicate_of_pdf396
