markdown_seq	markdown_headword	expected_headword_for_seq	index_matches_seq	candidate_index_seqs_for_headword	proposed_canonical_seq	status
0751	光彩	光彩	yes	0751	0751	ok
0753	光芒	光芒	yes	0753	0753	ok
0754	光荣	光荣	yes	0754	0754	ok
0755	广阔	广阔	yes	0755	0755	ok
0756	归根到底	归根到底	yes	0756	0756	ok
0757	归还	归还	yes	0757	0757	ok
0758	归纳	归纳	yes	0758	0758	ok
0759	规范	规范	yes	0759	0759	ok
0760	规格	规格	yes	0760	0760	ok
0762	规章	规章	yes	0762	0762	ok
0763	轨道	轨道	yes	0763	0763	ok
0764	贵族	贵族	yes	0764	0764	ok
0767	国防	国防	yes	0767	0767	ok
0768	国务院	国务院	yes	0768	0768	ok
0769	果断	果断	yes	0769	0769	ok
0770	过渡	过渡	yes	0770	0770	ok
0771	过度	过度	yes	0771	0771	ok
0773	过滤	过滤	yes	0773	0773	ok
0774	过失	过失	yes	0774	0774	ok
0776	过瘾	过瘾	yes	0776	0776	ok
0777	过于	过于	yes	0777	0777	ok
0778	嗨	嗨	yes	0778	0778	ok
0779	海拔	海拔	yes	0779	0779	ok
0780	海滨	海滨	yes	0780	0780	ok
0781	含糊	含糊	yes	0781	0781	ok
0782	含义	含义	yes	0782	0782	ok
0783	寒暄	寒暄	yes	0783	0783	ok
0784	罕见	罕见	yes	0784	0784	ok
0785	捍卫	捍卫	yes	0785	0785	ok
0786	行列	行列	yes	0786	0786	ok
0787	航空	航空	yes	0787	0787	ok
0788	航天	航天	yes	0788	0788	ok
0789	航行	航行	yes	0789	0789	ok
0790	毫米	毫米	yes	0790	0790	ok
0791	毫无	毫无	yes	0791	0791	ok
0792	豪迈	豪迈	yes	0792	0792	ok
0793	号召	号召	yes	0793	0793	ok
0794	好客	好客	yes	0794	0794	ok
0795	耗费	耗费	yes	0795	0795	ok
0797	合并	合并	yes	0797	0797	ok
0798	合成	合成	yes	0798	0798	ok
0799	合乎	合乎	yes	0799	0799	ok
0800	合伙	合伙	yes	0800	0800	ok
0803	和蔼	和蔼	yes	0803	0803	ok
0804	和解	和解	yes	0804	0804	ok
0805	和睦	和睦	yes	0805	0805	ok
0806	和气	和气	yes	0806	0806	ok
0809	痕迹	痕迹	yes	0809	0809	ok
0810	狠心	狠心	yes	0810	0810	ok
0811	恨不得	恨不得	yes	0811	0811	ok
0813	横	横	yes	0813	0813	ok
0814	轰动	轰动	yes	0814	0814	ok
0815	哄	哄	yes	0815,0816,0821		ok
0816	哄	哄	yes	0815,0816,0821		ok
0817	红包	红包	yes	0817	0817	ok
0818	宏观	宏观	yes	0818	0818	ok
0819	宏伟	宏伟	yes	0819	0819	ok
0820	洪水	洪水	yes	0820	0820	ok
0821	哄	哄	yes	0815,0816,0821		ok
0822	喉咙	喉咙	yes	0822	0822	ok
0823	吼	吼	yes	0823	0823	ok
0824	后代	后代	yes	0824	0824	ok
0825	后顾之忧	后顾之忧	yes	0825	0825	ok
0826	后勤	后勤	yes	0826	0826	ok
0827	候选	候选	yes	0827	0827	ok
0828	呼唤	呼唤	yes	0828	0828	ok
0829	呼啸	呼啸	yes	0829	0829	ok
0830	呼吁	呼吁	yes	0830	0830	ok
0831	忽略	忽略	yes	0831	0831	ok
0832	胡乱	胡乱	yes	0832	0832	ok
0833	胡须	胡须	yes	0833	0833	ok
0834	湖泊	湖泊	yes	0834	0834	ok
0835	互联网	互联网	yes	0835	0835	ok
0836	花瓣	花瓣	yes	0836	0836	ok
0838	华丽	华丽	yes	0838	0838	ok
0839	华侨	华侨	yes	0839	0839	ok
0840	化肥	化肥	yes	0840	0840	ok
0841	化石	化石	yes	0841	0841	ok
0842	化验	化验	yes	0842	0842	ok
0843	化妆	化妆	yes	0843	0843	ok
0844	划分	划分	yes	0844	0844	ok
0845	画蛇添足	画蛇添足	yes	0845	0845	ok
0846	话筒	话筒	yes	0846	0846	ok
0847	怀孕	怀孕	yes	0847	0847	ok
0848	欢乐	欢乐	yes	0848	0848	ok
0849	还原	还原	yes	0849	0849	ok
0850	环节	环节	yes	0850	0850	ok
0851	缓和	缓和	yes	0851	0851	ok
0853	荒凉	荒凉	yes	0853	0853	ok
0854	荒谬	荒谬	yes	0854	0854	ok
0855	荒唐	荒唐	yes	0855	0855	ok
0856	慌忙	慌忙	yes	0856	0856	ok
0857	皇帝	皇帝	yes	0857	0857	ok
0858	皇后	皇后	yes	0858	0858	ok
0859	黄昏	黄昏	yes	0859	0859	ok
0860	恍然大悟	恍然大悟	yes	0860	0860	ok
0861	晃	晃	yes	0861	0861	ok
0862	挥霍	挥霍	yes	0862	0862	ok
0863	辉煌	辉煌	yes	0863	0863	ok
0864	回报	回报	yes	0864	0864	ok
0865	回避	回避	yes	0865	0865	ok
0866	回顾	回顾	yes	0866	0866	ok
0867	回收	回收	yes	0867	0867	ok
0868	悔恨	悔恨	yes	0868	0868	ok
0869	毁灭	毁灭	yes	0869	0869	ok
0870	汇报	汇报	yes	0870	0870	ok
0871	会晤	会晤	yes	0871	0871	ok
0873	昏迷	昏迷	yes	0873	0873	ok
0874	荤	荤	yes	0874	0874	ok
0875	浑身	浑身	yes	0875	0875	ok
0876	混合	混合	yes	0876	0876	ok
0877	混乱	混乱	yes	0877	0877	ok
0878	混淆	混淆	yes	0878	0878	ok
0879	混浊	混浊	yes	0879	0879	ok
0880	活该	活该	yes	0880	0880	ok
0881	活力	活力	yes	0881	0881	ok
0882	火箭	火箭	yes	0882	0882	ok
0883	火焰	火焰	yes	0883	0883	ok
0884	火药	火药	yes	0884	0884	ok
0885	或许	或许	yes	0885	0885	ok
0886	货币	货币	yes	0886	0886	ok
0887	讥笑	讥笑	yes	0887	0887	ok
0889	机动	机动	yes	0889	0889	ok
0890	机构	机构	yes	0890	0890	ok
0891	机关	机关	yes	0891	0891	ok
0892	机灵	机灵	yes	0892	0892	ok
0893	机密	机密	yes	0893	0893	ok
0894	机械	机械	yes	0894	0894	ok
0895	机遇	机遇	yes	0895	0895	ok
0896	机智	机智	yes	0896	0896	ok
0897	基地	基地	yes	0897	0897	ok
0898	基金	基金	yes	0898	0898	ok
0899	基因	基因	yes	0899	0899	ok
0900	激发	激发	yes	0900	0900	ok
0901	激励	激励	yes	0901	0901	ok
0902	激情	激情	yes	0902	0902	ok
0903	及早	及早	yes	0903	0903	ok
0904	吉祥	吉祥	yes	0904	0904	ok
0905	级别	级别	yes	0905	0905	ok
0906	极端	极端	yes	0906	0906	ok
0907	极限	极限	yes	0907	0907	ok
0908	即便	即便	yes	0908	0908	ok
0909	即将	即将	yes	0909	0909	ok
0910	急功近利	急功近利	yes	0910	0910	ok
0911	急剧	急剧	yes	0911	0911	ok
0912	急切	急切	yes	0912	0912	ok
0913	急于求成	急于求成	yes	0913	0913	ok
0914	急躁	急躁	yes	0914	0914	ok
0915	疾病	疾病	yes	0915	0915	ok
0916	集团	集团	yes	0916	0916	ok
0917	嫉妒	嫉妒	yes	0917	0917	ok
0918	籍贯	籍贯	yes	0918	0918	ok
0919	给予	给予	yes	0919	0919	ok
0920	计较	计较	yes	0920	0920	ok
0921	记性	记性	yes	0921	0921	ok
0922	记载	记载	yes	0922	0922	ok
0923	纪要	纪要	yes	0923	0923	ok
0924	技能	技能	yes	0924	0924	ok
0925	技巧	技巧	yes	0925	0925	ok
0926	忌讳	忌讳	yes	0926	0926	ok
0927	季度	季度	yes	0927	0927	ok
0928	季军	季军	yes	0928	0928	ok
0929	迹象	迹象	yes	0929	0929	ok
0930	继承	继承	yes	0930	0930	ok
0931	继往开来	继往开来	yes	0931	0931	ok
0932	寄托	寄托	yes	0932	0932	ok
0933	寂静	寂静	yes	0933	0933	ok
0934	加工	加工	yes	0934	0934	ok
0935	加剧	加剧	yes	0935	0935	ok
0936	夹杂	夹杂	yes	0936	0936	ok
0937	佳肴	佳肴	yes	0937	0937	ok
0938	家常	家常	yes	0938	0938	ok
0939	家伙	家伙	yes	0939	0939	ok
0940	家属	家属	yes	0940	0940	ok
0941	家喻户晓	家喻户晓	yes	0941	0941	ok
0942	假设	假设	yes	0942	0942	ok
0943	假使	假使	yes	0943	0943	ok
0944	尖端	尖端	yes	0944	0944	ok
0945	尖锐	尖锐	yes	0945	0945	ok
0946	坚定	坚定	yes	0946	0946	ok
0947	坚固	坚固	yes	0947	0947	ok
0948	坚韧	坚韧	yes	0948	0948	ok
0949	坚实	坚实	yes	0949	0949	ok
0950	坚硬	坚硬	yes	0950	0950	ok
0951	艰难	艰难	yes	0951	0951	ok
0952	监督	监督	yes	0952	0952	ok
0953	监视	监视	yes	0953	0953	ok
0954	监狱	监狱	yes	0954	0954	ok
0955	兼职	兼职	yes	0955	0955	ok
0958	检讨	检讨	yes	0958	0958	ok
0959	检验	检验	yes	0959	0959	ok
0960	剪彩	剪彩	yes	0960	0960	ok
0961	简化	简化	yes	0961	0961	ok
0962	简陋	简陋	yes	0962	0962	ok
0963	简体字	简体字	yes	0963	0963	ok
0964	简要	简要	yes	0964	0964	ok
0965	见多识广	见多识广	yes	0965	0965	ok
0966	见解	见解	yes	0966	0966	ok
0967	见闻	见闻	yes	0967	0967	ok
0968	见义勇为	见义勇为	yes	0968	0968	ok
0969	间谍	间谍	yes	0969	0969	ok
0970	间隔	间隔	yes	0970	0970	ok
0971	间接	间接	yes	0971	0971	ok
0972	剑	剑	yes	0972	0972	ok
0973	健全	健全	yes	0973	0973	ok
