seq	headword
0001	哎哟
0002	挨
0003	癌症
0004	爱不释手
0005	爱戴
0006	暧昧
0007	安居乐业
0068	报销
0069	抱负
0070	抱怨
0071	暴力
0112	边界
0113	边境
0114	边缘
0115	编织
0116	鞭策
0117	贬低
0118	贬义
0119	扁
0120	变故
0121	变迁
0122	变质
0123	便利
0124	便条
0125	便于
0126	遍布
0127	辨认
0128	辩护
0129	辩解
0130	辩证
0131	辫子
0132	标本
0133	标记
0134	标题
0135	飙升
0136	表决
0137	表态
0138	表彰
0139	憋
0140	别墅
0141	别致
0142	别扭
0143	濒临
0144	冰雹
0145	丙
0146	并存
0147	并非
0148	并列
0149	拨
0150	波浪
0151	波涛
0152	剥削
0153	播放
0154	播种
0155	伯母
0156	博大精深
0238	颤抖
0239	昌盛
0240	猖狂
0241	尝试
0242	常年
0243	常务
0244	偿还
0245	场合
0246	场面
0247	场所
0248	敞开
0249	畅通
0250	畅销
0258	嘲笑
0278	成员
0279	呈现
0280	诚挚
0281	承办
0290	橙
0295	迟钝
0297	迟疑
0303	充实
0305	冲动
0306	冲击
0307	冲突
0308	重叠
0309	重阳节
0310	崇拜
0312	崇敬
0313	抽空
0314	稠密
0315	筹备
0316	踌躇
0317	丑恶
0322	出息
0339	喘气
0342	创立
0343	创新
0344	创业
0345	创作
0351	纯粹
0353	词汇
0354	慈善
0356	磁带
0361	刺
0363	丛
0364	凑合
0366	窜
0367	摧残
0371	挫折
0372	搭
0373	搭档
0379	打官司
0380	打击
0383	打猎
0384	打仗
0387	大伙儿
0388	大厦
0389	大肆
0390	大体
0393	歹徒
0395	代理
0408	当代
0412	当务之急
0419	导航
0426	得不偿失
0434	等候
0436	瞪
0437	堤坝
0456	雕刻
0458	吊
0459	调动
0460	跌
0462	叮嘱
0463	盯
0466	丢人
0467	丢三落四
0468	东道主
0469	东张西望
0486	督促
0487	毒品
0488	独裁
0489	堵塞
0490	赌博
0491	杜绝
0492	端
0493	端午节
0494	端正
0495	短促
0496	断定
0497	断断续续
0498	断绝
0499	堆积
0500	队伍
0501	对策
0502	对称
0503	对付
0504	对抗
0505	对立
0506	对联
0507	对应
0508	对照
0509	兑换
0510	兑现
0511	顿时
0525	发呆
0535	法人
0536	番
0565	防治
0570	放手
0577	诽谤
0581	沸腾
0582	分辨
0583	分寸
0584	分红
0585	分解
0586	分裂
0587	分泌
0591	分手
0597	分量
0602	风暴
0603	风度
0604	风光
0612	锋利
0613	峰
0615	夫妇
0618	服从
0619	服气
0620	俘虏
0621	符号
0622	幅度
0623	辐射
0624	福利
0625	福气
0627	抚养
0628	俯视
0632	腐蚀
0634	负担
0635	附和
0645	覆盖
0646	改良
0647	钙
0648	盖章
0650	干扰
0652	干预
0653	尴尬
0656	干劲
0657	纲领
0658	岗位
0663	高潮
0665	高考
0668	高涨
0669	稿件
0671	告诫
0672	疙瘩
0673	鸽子
0676	歌颂
0679	格式
0681	隔离
0682	个体
0684	根深蒂固
0685	根源
0686	跟前
0687	跟随
0688	跟踪
0693	工艺品
0694	公安局
0697	公关
0700	公然
0701	公认
0702	公司
0703	公务
0706	功课
0707	功劳
